date,scientific_name,common_name,zone,site,plot,pit,spp,sex,rcap,toe_num,sv_length,total_length,weight,tail,pc
11/7/91,uta stansburiana,side-blotched lizard,g,ibpe,a,2,utst,m,n,2015,40,82,2,w,0
11/7/91,uta stansburiana,side-blotched lizard,g,ibpe,a,7,utst,m,n,2013,50,125,4,w,0
11/7/91,uta stansburiana,side-blotched lizard,g,ibpe,a,15,utst,m,n,2012,50,140,5,w,0
11/7/91,uta stansburiana,side-blotched lizard,g,ibpe,c,11,utst,f,n,2020,30,76,2,w,0
11/7/91,uta stansburiana,side-blotched lizard,g,ibpe,c,12,utst,m,n,2022,46,126,4,w,0
11/7/91,uta stansburiana,side-blotched lizard,g,ibpe,c,12,utst,f,n,2023,45,116,3,w,0
11/7/91,uta stansburiana,side-blotched lizard,g,ibpe,c,12,utst,j,n,NA,32,75,2,w,0
11/7/91,uta stansburiana,side-blotched lizard,g,ibpe,c,15,utst,m,r,553,48,110,5,b,0
11/7/91,uta stansburiana,side-blotched lizard,m,rabb,a,5,utst,m,n,1553,43,115,4,w,0
11/7/91,uta stansburiana,side-blotched lizard,m,rabb,a,7,utst,f,n,1555,38,108,3,w,0
11/7/91,uta stansburiana,side-blotched lizard,m,rabb,a,9,utst,m,r,2123,45,131,5,w,1
11/7/91,uta stansburiana,side-blotched lizard,m,rabb,a,9,utst,f,n,2000,34,84,2,b,0
11/7/91,uta stansburiana,side-blotched lizard,m,rabb,a,9,utst,f,r,2052,43,115,4,w,0
11/7/91,uta stansburiana,side-blotched lizard,m,rabb,a,12,utst,f,n,1554,33,103,3,w,0
11/7/91,uta stansburiana,side-blotched lizard,m,rabb,a,13,utst,f,n,2004,45,113,3,w,0
11/7/91,uta stansburiana,side-blotched lizard,m,rabb,a,13,utst,m,n,2005,37,100,2,w,0
11/7/91,uta stansburiana,side-blotched lizard,m,rabb,a,14,utst,m,n,2003,48,95,5,b,0
11/7/91,uta stansburiana,side-blotched lizard,m,rabb,a,15,utst,f,n,2002,38,87,2,w,0
11/7/91,uta stansburiana,side-blotched lizard,m,rabb,a,16,utst,f,n,2001,44,113,3,w,0
11/7/91,uta stansburiana,side-blotched lizard,m,rabb,c,8,utst,f,n,NA,32,96,NA,w,1
11/7/91,uta stansburiana,side-blotched lizard,m,rabb,c,10,utst,m,n,2010,37,87,2,w,0
11/7/91,uta stansburiana,side-blotched lizard,m,well,b,15,utst,f,n,2011,45,115,3,w,0
11/7/91,uta stansburiana,side-blotched lizard,t,east,b,2,utst,f,n,1543,50,133,5,w,0
11/7/91,uta stansburiana,side-blotched lizard,t,east,b,3,utst,f,n,1544,45,105,5,b,0
11/7/91,uta stansburiana,side-blotched lizard,t,east,b,3,utst,j,n,NA,30,70,2,b,0
